method,role,backbone,mAP_pct,gflops,epoch,source,source_commit,record_container,compute_scope,test_protocol,state,measurement
Official AdaTAD-S,published_method_retested,S,69.0125535485383,2347.894038528,,fidelity_20260911/FINAL_COMPARISON.json,5485c3cb8dfbd823acbb177a0b51292dadc44360,research/paper/unit_focus_20260913/best_efficiency_data.json,complete_model_first_full_768_window_2MAC,THUMOS_211_videos_792_windows_5_tIoUs,provided_ema,archived_record_not_independent_rerun
Cross-S (internal),internal_precursor,S,64.57428163053412,1226.364693504,20,research/frame/runs/R03_cross_s_eval_20_ema/completed.json,5485c3cb8dfbd823acbb177a0b51292dadc44360,research/paper/unit_focus_20260913/best_efficiency_data.json,complete_model_first_full_768_window_2MAC,THUMOS_211_videos_792_windows_5_tIoUs,test_selected_ema,archived_record_not_independent_rerun
Official AdaTAD-B,published_method_retested,B,71.1279925299331,8082.154708992,,fidelity_20260911/FINAL_COMPARISON.json,5485c3cb8dfbd823acbb177a0b51292dadc44360,research/paper/unit_focus_20260913/best_efficiency_data.json,complete_model_first_full_768_window_2MAC,THUMOS_211_videos_792_windows_5_tIoUs,provided_ema,archived_record_not_independent_rerun
Cross-B (internal),internal_precursor,B,68.57922678401967,4094.124761088,10,research/frame/runs/R03_cross_b_eval_10_ema/completed.json,5485c3cb8dfbd823acbb177a0b51292dadc44360,research/paper/unit_focus_20260913/best_efficiency_data.json,complete_model_first_full_768_window_2MAC,THUMOS_211_videos_792_windows_5_tIoUs,test_selected_ema,archived_record_not_independent_rerun
