backbone,method,mean_map_ratio,gflops_2mac,model_mean_ms,model_median_ms,map_03_ratio,map_04_ratio,map_05_ratio,map_06_ratio,map_07_ratio,evidence_kind,status,test_videos,test_windows,selection,profile_scope,timing_cohort,source_url
S,Official,0.690125535485383,2347.894038528,51.207905542105436,51.17436498403549,0.8383380539306469,0.7908809643471865,0.7232891216449084,0.6157177867327084,0.48240175077146424,repository_record,complete,211,792,provided,GPU resident raw input; excludes decode/NMS; fixed full window,phase2_20260910_legacy_runtime_different_nodes_possible,https://github.com/yuzbo/BMCR-T-AdaTAD/blob/239d098cd899936c35989fae6243c70259a85adb/phase2_20260910/comparison.json
S,Legacy H65,0.6285931571253316,1210.310163456,92.83603057265282,86.6703949868679,0.7838136215419993,0.7307661121238492,0.6633324165974027,0.5520029573608478,0.4130506780025591,repository_record,complete,211,792,terminal_60,GPU resident raw input; excludes decode/NMS; fixed full window,phase2_20260910_legacy_runtime_different_nodes_possible,https://github.com/yuzbo/BMCR-T-AdaTAD/blob/239d098cd899936c35989fae6243c70259a85adb/phase2_20260910/comparison.json
S,Legacy BMCR,0.6315629267804301,1210.345353216,121.91008334048092,121.59073958173394,0.7877310917656425,0.7389128709858096,0.6591456733429285,0.5619945960365763,0.4100304017711937,repository_record,complete,211,792,terminal_60,GPU resident raw input; excludes decode/NMS; fixed full window,phase2_20260910_legacy_runtime_different_nodes_possible,https://github.com/yuzbo/BMCR-T-AdaTAD/blob/239d098cd899936c35989fae6243c70259a85adb/phase2_20260910/comparison.json
B,Official,0.7112799252993309,8082.154708992,118.31026002764702,118.17210167646408,0.8598400814011409,0.8184182052281697,0.7493058903658388,0.6326148983979525,0.4962205511035524,repository_record,complete,211,792,provided,GPU resident raw input; excludes decode/NMS; fixed full window,phase2_20260910_legacy_runtime_different_nodes_possible,https://github.com/yuzbo/BMCR-T-AdaTAD/blob/239d098cd899936c35989fae6243c70259a85adb/phase2_20260910/comparison.json
B,Legacy H65,0.6661280115442667,4077.440498688,123.0847530066967,123.01701679825783,0.8236880920909322,0.775707521174154,0.6992535172486127,0.5888749043865396,0.4431160228210951,repository_record,complete,211,792,terminal_60,GPU resident raw input; excludes decode/NMS; fixed full window,phase2_20260910_legacy_runtime_different_nodes_possible,https://github.com/yuzbo/BMCR-T-AdaTAD/blob/239d098cd899936c35989fae6243c70259a85adb/phase2_20260910/comparison.json
B,Legacy BMCR,0.6734044636181724,4077.475688448,153.7487529218197,153.74325588345528,0.8301970669741479,0.7836110680175928,0.7067274850351016,0.5929835309762771,0.45350316708774274,repository_record,complete,211,792,terminal_60,GPU resident raw input; excludes decode/NMS; fixed full window,phase2_20260910_legacy_runtime_different_nodes_possible,https://github.com/yuzbo/BMCR-T-AdaTAD/blob/239d098cd899936c35989fae6243c70259a85adb/phase2_20260910/comparison.json
